Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Car_Age,Price_per_km
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67,1582.0,126.2,5.0,11.48,12.5,False,False,True,9,0.0003048780487804878
2,Honda Jazz V,Chennai,2011,46000,First,13.0,1199.0,88.7,5.0,8.61,4.5,False,True,True,13,9.782608695652174e-05
3,Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248.0,88.76,7.0,11.48,6.0,False,False,True,12,6.896551724137931e-05
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2,1968.0,140.8,5.0,11.48,17.74,False,False,False,11,0.00043619375461027783
6,Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461.0,63.1,5.0,11.48,3.5,False,False,True,11,4.023034747525834e-05
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755.0,171.5,8.0,21.0,17.5,False,False,False,8,0.0004861111111111111
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598.0,103.6,5.0,11.48,5.2,False,False,True,11,8.070774483936054e-05
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248.0,74.0,5.0,11.48,1.95,False,False,True,12,2.957592671237032e-05
10,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462.0,103.25,5.0,10.65,9.95,False,True,True,6,0.00038728008718667286
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8,1497.0,116.3,5.0,11.48,4.49,False,True,False,12,7.483333333333334e-05
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248.0,74.0,5.0,11.48,5.6,False,False,True,9,8.692412765429032e-05
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7,2179.0,187.7,5.0,11.48,27.0,False,False,False,10,0.000375
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,0.0,2179.0,115.0,5.0,11.48,17.5,False,False,False,12,0.00020588235294117648
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477.0,175.56,7.0,32.01,15.0,False,False,True,10,0.00013636363636363637
16,Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498.0,98.6,5.0,11.48,5.4,False,False,True,8,9.160305343511451e-05
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248.0,74.0,5.0,11.48,5.99,False,False,True,7,0.0002396
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461.0,83.8,5.0,11.48,6.34,False,False,True,10,8.183918728781835e-05
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84,2143.0,167.62,5.0,11.48,28.0,False,False,False,10,0.000356687898089172
